Titulo,Interprete,Album,Fecha,Usuario,Duracion
yonaguni,bad bunny,nose,12/12/2021,daniel,4min
columbia,quevedo,nose,12/12/2021,daniel,2min
hey mor,feid,ozutochi,10/2/2023,dunia,3min
no me conoces,bad bunny,famouz,10/8/2019,daniel,4min 
suspicious minds,elvis presley,nose,10/8/2021,dunia,3min
my way,frank sinatra ,nose,10/8/2023,daniel,3min
el poder,cray dalton,nose,1/8/2021,daniel,2min
hola,mundo,nose,12/12/1874,dunia,2min
nose,nose,nose,10/10/1010,daniel,5min
hola ,hola ,hola,/14/15/1515,dunia,5min
ll,dd,w,12/8/2021,daniel,3min
hola,nose,nose,12/8/78,dunia,6min 
